,scientific_name,common_name,genus,percentage,count
274,Washingtonia filifera,California Fan Palm,Washingtonia,0.010776442696265962,4
275,Chitalpa tashkentensis,,Chitalpa,0.010776442696265962,4
276,Celtis australis,European Hackberry,Celtis,0.010776442696265962,4
277,Prunus x yedoensis 'Akebono',Daybreak Yoshino Cherry,Prunus,0.010776442696265962,4
278,Tilia tomentosa,Silver Linden,Tilia,0.010776442696265962,4
279,Prunus spp 'Purpurea',Cherry Plum,Prunus,0.008082332022199473,3
280,Quercus lobata,Valley Oak,Quercus,0.008082332022199473,3
281,Eucalyptus rudis,Swamp Gum: Flooded Gum,Eucalyptus,0.008082332022199473,3
282,Yucca spp,Yucca,Yucca,0.008082332022199473,3
283,Pinus halepensis,Allepo Pine,Pinus,0.008082332022199473,3
284,Cercis canadensis 'Forest Pansy',Forest Pansy Redbud,Cercis,0.008082332022199473,3
285,Populus tremuloides,Quaking aspen,Populus,0.008082332022199473,3
286,Musa spp,Banana,Musa,0.008082332022199473,3
287,Gleditsia triacanthos 'Sunburst',Sunburst Honey Locust,Gleditsia,0.008082332022199473,3
288,Prunus ilicifoia,Holly-leaved Cherry,Prunus,0.008082332022199473,3
289,Eucalyptus cinerea,Ash-colored Eucalyptus,Eucalyptus,0.008082332022199473,3
290,Robinia x ambigua,Locust,Robinia,0.008082332022199473,3
291,Howea forsteriana,Kentia Palm,Howea,0.008082332022199473,3
292,Eucalyptus pulverulenta,Silver Mountain Gum Tree,Eucalyptus,0.008082332022199473,3
293,Quercus engelmannii,Engelmann oak,Quercus,0.008082332022199473,3
294,Albizia distachya,Plume Albizia Tree,Albizia,0.008082332022199473,3
295,Pinus muricata,Bishop Pine,Pinus,0.008082332022199473,3
296,Prunus serrulata 'Mt. Fuji',Mt. Fuji Cherry Tree,Prunus,0.008082332022199473,3
297,Araucaria araucana,Monkey puzzle,Araucaria,0.008082332022199473,3
298,Salix matsudana 'Tortuosa',Corkscrew Willow,Salix,0.008082332022199473,3
299,Pyrus calleryana 'Capital',Ornamental Pear Tree 'Capital',Pyrus,0.008082332022199473,3
300,Betula nigra,River Birch,Betula,0.008082332022199473,3
301,Persea borbonia,False Avocado,Persea,0.008082332022199473,3
302,Solanum rantonnetti,,Solanum,0.005388221348132981,2
303,Aesculus hippocastanum,White Horsechestnut,Aesculus,0.005388221348132981,2
304,Schefflera species,Umbrella tree,Schefflera,0.005388221348132981,2
305,Gleditsia triacanthos 'Aurea',Honey Locust 'Aurea',Gleditsia,0.005388221348132981,2
306,Sapium sebiferum,Chinese Tallow,Sapium,0.005388221348132981,2
307,Acca sellowiana,Pineapple Guava Tree,Acca,0.005388221348132981,2
308,Casurina stricta,Beefwood: Drooping She-Oak,Casurina,0.005388221348132981,2
309,Quercus palustris,Pin Oak,Quercus,0.005388221348132981,2
310,Myrica californica,Pacific Wax Myrtle Tree,Myrica,0.005388221348132981,2
311,Podocarpus henkelii,Long-Leafed Yellow-Wood,Podocarpus,0.005388221348132981,2
312,Thuja plicata,Western Red Cedar,Thuja,0.005388221348132981,2
313,Fagus sylvatica,European Beech,Fagus,0.005388221348132981,2
314,Rhus lancea,African Sumac,Rhus,0.005388221348132981,2
315,Cornus florida,Eastern Dogwood,Cornus,0.005388221348132981,2
316,Phoenix roebelenii,Pigmy Date Palm,Phoenix,0.005388221348132981,2
317,Prunus amygdalus,Almond,Prunus,0.005388221348132981,2
318,Tilia spp,Linden,Tilia,0.005388221348132981,2
319,Tilia americana,Basswood Linden,Tilia,0.005388221348132981,2
320,Grevillea spp,Silkoak species,Grevillea,0.005388221348132981,2
321,Cryptomeria japonica,Japanese Cryptomeria,Cryptomeria,0.005388221348132981,2
322,Salix discolor,Pussy Willow,Salix,0.005388221348132981,2
323,Quercus robur,English Oak,Quercus,0.005388221348132981,2
324,Ficus laurel,,Ficus,0.005388221348132981,2
325,Gleditsia triacanthos 'Shademaster',Honey Locust 'Shademaster',Gleditsia,0.005388221348132981,2
326,Psidium guajava,Guava tree,Psidium,0.005388221348132981,2
327,Phoenix spp,Date palm (species unknown),Phoenix,0.005388221348132981,2
328,Private shrub,Private Shrub,Private,0.005388221348132981,2
329,Juglans nigra,Eastern black walnut,Juglans,0.005388221348132981,2
330,Platanus orientalis,Eastern Plane Tree,Platanus,0.005388221348132981,2
331,Ginkgo biloba 'Saratoga',Ginkgo: Saratoga,Ginkgo,0.005388221348132981,2
332,Azara microphylla,Little-Leaf Azara,Azara,0.005388221348132981,2
333,Acacia cyclops,Cyclops wattle,Acacia,0.005388221348132981,2
334,Nyssa sylvatica,Tupelo: Sour Gum,Nyssa,0.005388221348132981,2
335,Viburnum odoratissimum var. awabuki,Sweet viburnum,Viburnum,0.005388221348132981,2
336,Corymbia calophylla,,Corymbia,0.005388221348132981,2
337,Prunus lusitanica,Portugese Cherry Laurel,Prunus,0.005388221348132981,2
338,Fraxinus ornus,Flowering Ash,Fraxinus,0.005388221348132981,2
339,Acer circinatum,Vine Maple,Acer,0.005388221348132981,2
340,Prunus serrulata 'Amanagawa',Flowering Cherry Tree 'Amanagawa',Prunus,0.005388221348132981,2
341,Aloe barberae,Tree aloe,Aloe,0.005388221348132981,2
342,Cedrela fissilis,Argentine cedar,Cedrela,0.0026941106740664906,1
343,Juglans californica,Walnut: Black (s.calif),Juglans,0.0026941106740664906,1
344,Citrus × meyeri 'Improved',Improved Meyer Lemon,Citrus,0.0026941106740664906,1
345,Lagerstroemia indica 'Tuscarora',Tuscarora Crape Myrtle,Lagerstroemia,0.0026941106740664906,1
346,Eucalyptus longifolia,Woollybutt,Eucalyptus,0.0026941106740664906,1
347,Diospyros kaki,Persimmon,Diospyros,0.0026941106740664906,1
348,Radermachera sinica,China Doll Tree,Radermachera,0.0026941106740664906,1
349,Callistemon 'Jeffers',Purple bottlebrush,Callistemon,0.0026941106740664906,1
350,Ilex opaca,American Holly,Ilex,0.0026941106740664906,1
351,Arbutus unedo 'Compacta',Dwarf strawberry tree,Arbutus,0.0026941106740664906,1
352,Ulmus 'Frontier',Frontier Elm,Ulmus,0.0026941106740664906,1
353,Acer x 'Autumn Blaze',Hybrid Maple,Acer,0.0026941106740664906,1
354,Citrus × limon 'Lisbon',Lisbon Lemon Tree,Citrus,0.0026941106740664906,1
355,Metrosideros excelsa 'Aurea',,Metrosideros,0.0026941106740664906,1
356,Vitex lucens,Puriri tree,Vitex,0.0026941106740664906,1
357,Cornus SPP,Dogwood,Cornus,0.0026941106740664906,1
358,Angohpora spp.,Angophora species,Angohpora,0.0026941106740664906,1
359,Pinus contorta,Shore Pine,Pinus,0.0026941106740664906,1
360,Eucalyptus torquata,Coral Gum,Eucalyptus,0.0026941106740664906,1
361,Tecoma stans,Trumpet bush,Tecoma,0.0026941106740664906,1
362,Ailanthus altissima,Tree Of Heaven,Ailanthus,0.0026941106740664906,1
363,Prunus sp,Flowering Plum,Prunus,0.0026941106740664906,1
364,Macadamia tetraphylla,Macadamia,Macadamia,0.0026941106740664906,1
365,Punica granatum 'Wonderfu,Pomegranate Tree 'Wonderful',Punica,0.0026941106740664906,1
366,Prunus sargentii 'Columnaris',Sargent Cherry Tree 'Columnaris',Prunus,0.0026941106740664906,1
367,Archontophoenix myolensis,Myola palm,Archontophoenix,0.0026941106740664906,1
368,Rhopalostylis baueri,Palm,Rhopalostylis,0.0026941106740664906,1
369,Malus sylvestris,Apple,Malus,0.0026941106740664906,1
370,Ulmus parvifolia 'Sempervirens',Weeping Chinese Elm,Ulmus,0.0026941106740664906,1
371,Mangifera indica,Mango,Mangifera,0.0026941106740664906,1
372,Dypsis cabadae,Cabada palm,Dypsis,0.0026941106740664906,1
373,Arctostaphylos manzanita 'Dr Hurd',Dr. Hurd Manzanita,Arctostaphylos,0.0026941106740664906,1
374,Privet,,Privet,0.0026941106740664906,1
375,Morus rubra,Red mulbeerry,Morus,0.0026941106740664906,1
376,Butia capitata,Pindo Palm,Butia,0.0026941106740664906,1
377,Cycas revoluta,Sago palm,Cycas,0.0026941106740664906,1
378,Ulmus carpinifolia 'Frontier',Frontier Elm 'Frontier',Ulmus,0.0026941106740664906,1
379,Auranticarpa rhombifolia,Queensland Pittosporum,Auranticarpa,0.0026941106740664906,1
380,Ulmus procera,English Elm,Ulmus,0.0026941106740664906,1
381,Liquidambar styraciflua 'Palo Alto',Palo Alto Sweet Gum,Liquidambar,0.0026941106740664906,1
382,Brachychiton acerifolius,Australian Flame Tree,Brachychiton,0.0026941106740664906,1
383,Quercus alba,White oak,Quercus,0.0026941106740664906,1
384,Chamaecyparis obtusa,Hinoki cypress,Chamaecyparis,0.0026941106740664906,1
385,Styrax japonicus,Japanese Snowdrop Tree,Styrax,0.0026941106740664906,1
386,Magnolia sargentiana 'Robusta',Robusta Magnolia,Magnolia,0.0026941106740664906,1
387,Aesculus x carnea 'O'Neill',O'Neill Red Horse Chestnut,Aesculus,0.0026941106740664906,1
